id,name,blurb,goal,log_goal,currency,country,main_category,subcategory,city,location_state,created_at,launched_at,deadline,target
1482,Tennibot: The World’s First Robotic Tennis Ball Collector,Autonomous & intelligent robot saves players and coaches time by eliminating the tedious task of collecting tennis balls!,35000.0,10.463131911491969,USD,US,Technology,Robots,Boston,MA,1521815024,1524577351,1528465351,1
1437,Davidson RobotEx 2018,Davidson High School is looking for help with expenses involved in competing in the B.E.S.T. Robotics competition for 2018.,1000.0,6.90875477931522,USD,US,Technology,Robots,Mobile,AL,1536266594,1536862741,1538856000,1
1417,"""Sight"" - 1 Minute Horror Short Film",A SWAT Team is terrorized by a demonic presence after raiding a deadly cult.,300.0,5.707110264748875,USD,US,Film & Video,Horror,Los Angeles,CA,1542748468,1543440887,1544216400,1
899,The Nonsense sea creature by 3D Mikron,"Pre-Supported .STL files and Physical Resin 3D printed models for use in Tabletop gaming, 3D printing and Miniatures.",800.0,6.68586094706836,HKD,HK,Crafts,Printing,Hong Kong,Hong Kong Island,1682310400,1683969359,1686129359,0
487,Memdock G2 True Customizable-Keys 7-in-1 Hub for Easy Access,7-in-1 Hub｜7 Keys & 1 Knob｜6 Full-DIY Keys｜Plug and Play Hub｜100W PD Charge｜4K@60Hz｜SD/TF 5G Slots｜Support Steam Deck & Nintendo Switch,30000.0,10.308985993422082,HKD,HK,Technology,Gadgets,Hong Kong,Hong Kong Island,1735703758,1738047658,1740639658,1
1638,On the Trail with Mike Schneider,The wilderness at our doorstep! We're taking a highly-rated Public Broadcasting Special & turning it into a series.,30000.0,10.308985993422082,USD,US,Film & Video,Television,New York,NY,1477422614,1477678607,1480274207,0
1983,Winsor McCay Resurrection Project,"Independent animator Bill Plympton restores & updates Winsor McCay's 1921 classic, THE FLYING HOUSE by cleaning & coloring each frame.",10000.0,9.210440366976515,USD,US,Film & Video,Animation,New York,NY,1308116680,1308170436,1310762436,1
1611,Healing Beyond Science: A personal Story,Martin Palmer investigates this controversial therapy with exclusive access to those with the healing hands,2500.0,7.824445930877619,GBP,GB,Film & Video,Television,London,England,1484576313,1484834500,1490014900,0
109,KPop Demon Hunters || Rumi + Jinu PJs by Crisoco,Designed in Canada! This is to help fund the production of these super cute Rumi and Jinu inspired PJ sets!,2500.0,7.824445930877619,CAD,CA,Fashion,Apparel,Hamilton,ON,1755814156,1758862122,1764049722,0
1642,Tha Slumber Party,"A local Houston TV show, Tha Slumber Party, is a night time, lingerie wearing,talk show involving 4 exotic women who are best friends,",25000.0,10.12667110305036,USD,US,Film & Video,Television,Houston,TX,1473655497,1473695372,1478882972,0
1430,Vortex - An Experimental Short Film - Post Production,An alienated man has no idea of what’s going on outside his decrepit apartment in Burbank as surrealistic events start happening.,1000.0,6.90875477931522,USD,US,Art,Video Art,Burbank,CA,1531089526,1537364870,1539956870,0
384,FabricForge,Bring Your Imagination to Life—Custom Plushies Crafted from Your Lore! ║Sew your story. Weave your way into the wonders of PLUSHIES!║,2000.0,7.601402334583733,USD,US,Design,Toys,El Paso,TX,1740791063,1742051407,1747235407,0
985,Products with you in mind!,"We are a disabled veteran-owned small business, help us on our journey.",2500.0,7.824445930877619,USD,US,Fashion,Jewelry,New York,NY,1656682893,1657049042,1659641042,0
877,"Siege Perilous - ""Creation's Call"" EP",Help us tell 4 Epic Power Metal Stories by supporting our EP!,2000.0,7.601402334583733,USD,US,Music,Metal,Denver,CO,1689866877,1691150429,1693742429,1
1980,Embodied: A multifaceted one-woman musical performance,"My calling in the world is to transform lives. In this case, I seek to effect the lives of others by performing the music I've created.",2200.0,7.696667081526462,USD,US,Art,Performance Art,Seattle,WA,1308275067,1308345629,1312233629,1
1486,3er Foro Internacional: Música para todos y para todo,"Encuentro interdisciplinario, intergeneracional y multicultural con el objetivo de que la música y el arte sean para tod@s",450000.0,13.017005083966255,MXN,MX,Music,World Music,Guadalajara,Baja California,1523235396,1525278465,1527870465,0
1306,The Advocate Network,"To create a network of patient advocates, social workers, and supportive people to ensure that all patients receive compassionate care.",1000.0,6.90875477931522,USD,US,Journalism,Web,Boston,MA,1563367234,1563849467,1566441467,0
1784,Woolet: The Slimmest Wallet for the Modern Man,"A next generation wallet that keeps your cash and cards safe. Ultra slim, bluetooth-powered, self-charging & handcrafted to perfection.",15000.0,9.61587214452889,USD,US,Technology,Wearables,Dover,DE,1419954605,1424865707,1427972507,1
803,Battle Planes of WW2 (Volume 5) in 1:200 scale,Aircraft of the World War 2 from Wargame3D (Volume 5). 3D printable STL files in 1:200 scale.,300.0,5.707110264748875,EUR,PL,Games,Tabletop Games,Lublin,Lublin,1706016385,1709642130,1710848130,1
1198,Escrow Central,An Actual Escrow Service and Unique Online Market Place.,5250.0,8.566173813637858,GBP,GB,Technology,Web,London,England,1589823399,1590163168,1592755168,0
995,Letters from the Magic School - Series 1 Redo,Magical Letters back by popular demand!,2000.0,7.601402334583733,GBP,GB,Fashion,Jewelry,London,England,1650730032,1655485238,1656349238,0
1568,FLORA DIABOLA – an incredible photo calendar 2018,A high-quality and exclusive large format photo calendar (60 x 42 cm / 23.5 x 16.5 inches) with 12 unbelievably fantastic photographs.,5000.0,8.517393171418904,EUR,DE,Photography,Photography,Schöneiche bei Berlin,Brandenburg,1503330125,1503934717,1506526717,1
1555,Bruce on the Loose: A Bruce Campbell Fan Podcast,"Contrary to popular belief, Bruce Campbell is MUCH more than his Evil Dead character, Ashley J. Williams. We explore his ENTIRE career!",500.0,6.2166061010848646,USD,US,Publishing,Radio & Podcasts,Tampa,FL,1506871016,1506949324,1509541324,1
1383,Automat - a short film,"Two fulfilment workers struggle to meet ever-increasing targets at work, as the threat of robotisation looms",15000.0,9.61587214452889,GBP,GB,Film & Video,Drama,London,England,1548621653,1550050309,1551992400,1
1275,Eulogy,Kyle Anne's Debut Full-Length Album,5600.0,8.630700432209832,USD,US,Music,Indie Rock,Fort Myers,FL,1567537312,1570627917,1573223517,1
111,Sustainable Shoes Made with Recycled Sails,"The new RE49 SAIL2025 sneakers, crafted from recycled boat sails and sustainable materials.",10000.0,9.210440366976515,EUR,IT,Fashion,Footwear,Gonars,Friuli-Venezia Giulia,1757685261,1760139297,1764030897,1
1648,The Maker | A Short Film,An aging man with the rare power to change people's souls struggles to teach his replacement his mysterious trade.,3000.0,8.006700845440367,USD,US,Film & Video,Narrative Film,Los Angeles,CA,1472484781,1475093064,1477685064,1
987,Debut Album,Help me buy the equipment necessary to record my debut album!,6000.0,8.699681400989514,USD,US,Music,Country & Folk,Bristol,VA,1653364923,1653650607,1658834607,0
774,Annabelle: Traversing Deeper Part 3 of 4,"Continuing the thrilling adventure with Annabelle, Adam, and Luke. As Kur unleashes his rage on everyone!",500.0,6.2166061010848646,USD,US,Comics,Comic Books,Seattle,WA,1704896024,1710537730,1713129730,1
1767,Loud Arts,"Local Theatre group in Loudoun County, Virginia. Looking for funds to start producing shows!",3000.0,8.006700845440367,USD,US,Theater,Plays,Leesburg,VA,1429565790,1429584438,1434768438,0
198,FitMirage: A Smarter Wardrobe App For Everyday Style,"We’re creating a digital closet app to plan and style outfits from what you already own, whether you dress modest, bold, or in between.",120000.0,11.695255355062796,USD,US,Technology,Apps,Colorado Springs,CO,1749995388,1756801101,1759393101,0
135,#hardcover2025 | art for adults 18+ | Retro,The fifth book of the series. This time with the topic: Retro!,30000.0,10.308985993422082,EUR,FR,Publishing,Art Books,Strasbourg,Alsace,1746629917,1760112000,1762704000,1
1115,The Strange Films Experience,"A physical media release of Strange Films featuring DVD/Blu-Rays, Comics, Shirts, and other collectables.",300.0,5.707110264748875,USD,US,Film & Video,Horror,Knoxville,TN,1613489672,1613999829,1616083200,1
148,Mobster Mash #1-2: Classic Movie Monsters as Mobsters!,Movie Monsters as Mobsters all in a turf war over a 1940’s Tinseltown. Written and Drawn by Marvel / DC artist Will Robson,8000.0,8.987321812850125,GBP,GB,Comics,Comic Books,East Sussex,England,1745370104,1759308852,1761973200,1
1579,LAKSH: A narrative short film by Jennifer Rosen.,LAKSH is the story of Sameer who returns home to Delhi to confront the life he left behind since forging a new path in Italy.,20000.0,9.90353755128617,GBP,GB,Film & Video,Narrative Film,London,England,1501261869,1501658436,1504250436,1
691,CHRISTMAS IN JULY! Jazz & Blues Revue - HOLIDAY SOIRÉE,The Jazz & Blues Revue returns with a brand new Holiday Album filled with Christmas and Chanukah songs - originals and classics,4700.0,8.45553053102413,USD,US,Music,Jazz,Los Angeles,CA,1715388699,1717594346,1720853940,1
1806,"real.live.people.durham- ""its not me its you""",An evening-length duet made up of a series of dance-theater vignettes exploring the idiosyncrasies of relationships.,2000.0,7.601402334583733,USD,US,Dance,Performances,Durham,NC,1413177968,1413230082,1415408400,1
587,Book: When You Can't See the Light,"A Trauma-Informed Guide to Surviving a Significant Loss, by Ashley Nicole Jones",25000.0,10.12667110305036,USD,US,Publishing,Nonfiction,Atlanta,GA,1727813663,1729682346,1732078740,1
1106,Les Dés Truqués niveau 2,Réouvrir une version améliorée de la boutique Les Dés Truqués,1500.0,7.313886831633462,CAD,CA,Games,Live Games,Shawinigan,QC,1605999444,1614600813,1619781213,1
1331,Life Resonance Performing Arts Tour,"A journey into the Mystery of life. 
An opening into the infinite resonance and creation ability through movement.",1500.0,7.313886831633462,AUD,AU,Dance,Performances,Melbourne,VIC,1556723657,1557929657,1561564920,0
788,PEOPLE LIKE US,"A photobook exploring trans, non-binary and gender non-conforming identities and experience.",8000.0,8.987321812850125,GBP,GB,Photography,Photobooks,London,England,1706024092,1708080931,1712098740,1
1041,The One Diamond Solitaire By Brilliant Encore,Eco friendly mined diamond alternative that provides exceptional value and peace of mind.,47915.0,10.77720475685122,USD,US,Fashion,Jewelry,Miami,FL,1626710935,1638669896,1643853896,0
1882,arc en ciel,"An ode to your love for music, the support of mine and your belief in me. This album is for you. Lets finish it together.",20000.0,9.90353755128617,USD,US,Music,Indie Rock,Brooklyn,NY,1312234670,1381728748,1385798400,1
50,The Complete Timeline of Sarah and Eloise,A LGBTQ+ Musical About Love That Defies Time Itself,7500.0,8.922791623969637,USD,US,Theater,Musical,Portland,ME,1762961871,1764339354,1768572780,0
104,JourneyMon: Monster Trainer Roleplaying,"A narrative, collaborative world-building tabletop roleplaying game about friendship and monster battles.",2500.0,7.824445930877619,GBP,GB,Games,Tabletop Games,Southampton,England,1749765793,1761670786,1764266386,1
401,DFC Slim Suit for the PS5,"Upgrade for Your PS5 Slim Plates with Innovative Design, Style & Customization",30000.0,10.308985993422082,USD,US,Design,Toys,Neptune,NJ,1722531508,1741035742,1746216142,0
472,Fallen London: The Roleplaying Game,"An officially-licensed tabletop roleplaying game set in the deep, dark and marvellous city of Fallen London. Welcome, delicious friend.",50000.0,10.819798284210286,USD,US,Games,Tabletop Games,Albuquerque,NM,1732659951,1739285872,1741896000,1
1576,The Beauty of Bulgaria,This exhibition will be displayed at the Chicago Botanic Garden. It's  goal is to show beautiful Landscapes of Bulgaria and its history,550.0,6.311734809152915,USD,US,Photography,Places,Chicago,IL,1503959106,1503966424,1504976340,1
974,Spider M1: Laser Engraver & Cutter with Infinite Work Area,"Portable & compact, redefines laser engraving & cutting with infinite possibilities.",50000.0,10.819798284210286,HKD,HK,Technology,Fabrication Tools,Kowloon,Kowloon,1656467253,1659446179,1663334179,1
189,Toad Turf,"A 3D Platformer Party Shooter inspired by early 2000s console games. No microtransactions, no live service! Free Updates Post Launch.",1000.0,6.90875477931522,USD,US,Games,Video Games,San Francisco,CA,1729025031,1754539148,1759723148,1
355,ULTIMATE MECHA : The Animated Series Film Festival Run,"Inspired by Japanese anime, Ultimate Mecha is a brand-new animated show that uniquely blends Mecha action with Slice of Life storylines",2500.0,7.824445930877619,CAD,CA,Film & Video,Animation,Vancouver,BC,1738181597,1746125169,1748717169,1
40,Kris Kringle: Monster Hunter,The Complete Stories,750.0,6.621405651764134,USD,US,Publishing,Fiction,North Atlanta,GA,1765473414,1767705557,1769749260,1
367,The Totally Unofficial Mayor Pete Hat,"We don’t know what office Pete will hold, or when. But we do know he’ll hold one. And that gives us hope.",1500.0,7.313886831633462,USD,US,Fashion,Accessories,Chicago,IL,1743880979,1745592434,1748184434,1
1869,"The Remembrance Day Project. A ""Call to Action"" Tribute","My goal: record the song ""Remembrance Day"" in a recording studio, add images, & post on YouTube to honor, inspire, comfort & motivate.",1950.0,7.576097340623111,USD,US,Music,Indie Rock,Seattle,WA,1387597940,1389066978,1392090978,1
969,AI DREAMING: Palindromes - Illustrated with Midjourney AI,"How does an art-generating AI interpret silly human wordplay? A book of whimsical, odd & lovely images inspired by classic palindromes.",500.0,6.2166061010848646,USD,US,Publishing,Art Books,Seattle,WA,1661561543,1662733046,1664507700,1
884,The Finns New Album Release,REMEMBER. THIS. DAY. - August 2023,8000.0,8.987321812850125,EUR,IE,Music,Country & Folk,Rathdowney,Laois,1685597564,1688645737,1690804620,1
765,Epoch,Il tappeto con cialda profumata integrata,100000.0,11.51293546492023,EUR,IT,Design,Product Design,Rubano,Veneto,1706621441,1708966198,1714146598,0
225,Honor Thy Father - Short Film,Relationship with Her Father or Her Own Future - She Can't Have Both.,5000.0,8.517393171418904,USD,US,Film & Video,Drama,Chicago,IL,1754539689,1755008209,1757600209,1
1468,NINGÚN RELOJ CUENTA ESTO,Una obra coreográfica sobre la experiencia de la soledad y la búsqueda de la empatía en un contexto urbano.,10000.0,9.210440366976515,MXN,MX,Dance,Performances,Mexico City,Distrito Federal,1529276508,1529372452,1532365200,0
719,This Isn't How I Pictured It - Short Film,A dark comedy following a (really bad) day in the life of a model on a quest for stardom.,50000.0,10.819798284210286,CAD,CA,Film & Video,Shorts,Montreal,QC,1714053048,1714939273,1717531273,1
206,Songs By Tom Lehrer (Expanded Deluxe Vinyl Edition),"Remastered from the original master tape. Vinyl mastering by Kevin Gray. Expanded to include the complete, uncut 1951 ""Physical Revue.""",30000.0,10.308985993422082,USD,US,Music,Comedy,Dallas,TX,1749975703,1753385411,1758569411,0
1805,Armorous,"Armorous collects the most sexy, spookiest, outrageous comics of medieval mischief! Adult fantasy short stories like you want them!",13200.0,9.48804786328076,USD,US,Comics,Anthologies,Tulsa,OK,1410914030,1412643738,1415412000,0
57,Faith Tools to Make the Bible Come Alive,"Creative faith-based series including Flourish Fridays, Throne Room Thursdays, and Bible Come Alive visuals to empower lives worldwide.",5600.0,8.630700432209832,GBP,GB,Publishing,Nonfiction,Wales,England,1763402045,1763562558,1767997200,0
1521,Higher Grounds Coffee Company Mobile Coffee Truck Startup,HGCC is a mobile coffee truck bringing quality fair trade coffee to Manitowoc County while raising awareness about modern day slavery.,10000.0,9.210440366976515,USD,US,Food,Food Trucks,Manitowoc,WI,1502912997,1512659274,1515769674,1
695,Cane Toad Times,The End Times,6000.0,8.699681400989514,AUD,AU,Publishing,Comedy,Brisbane,QLD,1717131676,1717197298,1720653298,1
1401,2019-20 Fireball Newsflash Crosswords,Twenty current events crosswords that will be sent out over the course of a year. Many puzzle answers will be taken from current news.,7777.0,8.959054514715692,USD,US,Games,Puzzles,Great Neck,NY,1541808479,1547010033,1548644400,1
1494,SPIRIT: A Sports Horror Film,Unveiling a darker side of mixed martial arts,30000.0,10.308985993422082,USD,US,Film & Video,Horror,San Francisco,CA,1517008505,1522825343,1525417343,1
1402,Unklebump is your future favorite artist,My ultimate goal as an independent artist is to create a level of success by producing quality music and investing in my sound.,10000.0,9.210440366976515,USD,US,Music,Hip-Hop,San Diego,CA,1543147770,1543200421,1548384421,0
1795,Fashion Label :The Autonomous Collections,New ethical fashion brand with upcoming designer Kim Stevenson needs to raise funds to show at London Fashion Week in February,700.0,6.55250788703459,GBP,GB,Fashion,Ready-to-wear,London,England,1416910000,1418672059,1422172320,1
256,COLOR QUEST: Limited Edition Coloring Books & 48 Marker Set!,"2x 50 Page Adventure-filled Coloring books, and a Custom Set of 48 professional Alcohol Markers!",185000.0,12.128116509451258,AUD,AU,Crafts,Stationery,Jersey City,NJ,1733708279,1753219822,1755651600,1
1589,Build Your Own Airbnb with Ruby on Rails & React Native,A Programming Project for Startups & Entrepreneurs. Learn how to build YOUR OWN Airbnb version with Ruby on Rails and React Native.,42000.0,10.645448706505872,AUD,AU,Technology,Web,Melbourne,VIC,1497259191,1497966568,1501037700,1
776,Dagar med Annie,Bakom kulisserna: En fotodokumentär om den politiska vardagen med Annie Lööf,200000.0,12.206077645517674,SEK,SE,Photography,Photobooks,Stockholm,Stockholm,1709639729,1710412463,1713004463,0
327,[AN EXERCISE IN FUTILITY]: An Absurd Office-Based Short Film,The (un)biased and (counter)factual account of one employees attempt to ameliorate a floundering life insurance company,1500.0,7.313886831633462,GBP,GB,Film & Video,Shorts,London,England,1743500510,1748353648,1750513648,1
1105,LONGG-The First Electric Tailgate With Voice Control,Open and close your tailgate with a simple voice command.,40000.0,10.59665973278358,HKD,HK,Technology,DIY Electronics,Hong Kong,Hong Kong Island,1609755934,1617199718,1619878118,0
443,Outlawyer,Notorious Australian cowboy outlaw Ned Kelly becomes a defence attorney for the dead in the afterlife during ww1,9000.0,9.105090961257083,AUD,AU,Games,Video Games,Melbourne,VIC,1732774429,1738335599,1743515999,1
1117,Custom LED Dog ID Tag,Custom LED Dod ID Tag did create thinking about the benefit of pets.,60000.0,11.002116507732016,MXN,MX,Fashion,Pet Fashion,Mexico City,Distrito Federal,1611425133,1611882528,1614474528,0
1856,Teaching Culture with New Orleans Food Shape Puzzles,A toy that also teaches the local culture of New Orleans from My Town Toy Company.,15000.0,9.61587214452889,USD,US,Games,Puzzles,New Orleans,LA,1398933436,1400525421,1403117421,1
1125,1 IN 2 NEW COMBINED SPANNER TYPE,We would like to improve combined spanners so that they can be used twice.,39600.0,10.586609649448985,EUR,AT,Technology,Fabrication Tools,Klagenfurt,Carinthia,1605642277,1607076973,1609675140,0
277,Portraits of Philosophers - Wisdom Worth Displaying,"A large, linen-bound coffee table book of rare beauty with timeless portraits and deep reflections from thirteen leading philosophers.",6500.0,8.77971129020447,GBP,GB,Photography,Photobooks,London,England,1750173854,1751363496,1754002740,1
172,Fallen Fates,"A new top-down action-RPG, brought to life through beautiful hand-drawn pixel art, packed with epic, intense combat.",100000.0,11.51293546492023,EUR,FR,Games,Video Games,Angouleme,Poitou-Charentes,1739348922,1758207536,1760885936,1
479,"Pixelfed & Loops: Authentic Sharing, Reimagined","Beautiful sharing platforms that puts you first. No ads, no algorithms, no tracking – just pure photography and authentic connections.",50000.0,10.819798284210286,CAD,CA,Technology,Web,Grande Prairie,AB,1719894473,1737529257,1741417257,1
1759,Kevo Vacuum Former,"The easy, fun and affordable way to craft objects and creations in your home or studio through the accessible art of vacuum forming.",750.0,6.621405651764134,USD,US,Technology,Fabrication Tools,Kansas City,MO,1417274578,1434727621,1437751621,1
1436,Parashot Drashim - Newest Book By Steven R. Bruck,A Commentary on the Weekly Torah Readings for Both Jews and Gentiles,300.0,5.707110264748875,USD,US,Publishing,Academic,Melbourne,FL,1536083532,1536315827,1538907827,1
1340,theprotestforum,"An independent platform dedicated to the organisation, promotion and discovery of protests, demonstrations and strikes around the world",15000.0,9.61587214452889,GBP,GB,Technology,Web,Bristol,England,1554389673,1554481487,1559665487,0
495,LEFU: The Smart Scale That Knows Your Body Better,8-Electrode Smart Scale | Track 58 different body data | Easy Data Management | Voice Guidance,1500.0,7.313886831633462,USD,US,Technology,Gadgets,Chicago,IL,1736232626,1737379737,1739971737,1
1814,ORA Smart Glass,ORA Smart Glasses : More Advanced than Google Glass at a Fraction of the Price !,100000.0,11.51293546492023,USD,US,Technology,Wearables,Monte Sereno,CA,1399036448,1409302778,1414486778,1
183,Mindscourge: A Compendium of Mental Afflictions for DnD 5e,"A handbook of over 100 brain diseases, madnesses, magic items, backgrounds, and feats for D&D and other TTRPGs!",100.0,4.61512051684126,USD,US,Games,Tabletop Games,Raleigh,NC,1738533099,1757520574,1760112574,1
823,BROLESQUE | The Theatre Show,"BROLESQUE, a captivating dance revue created by Lockhart Brownlie",35000.0,10.463131911491969,USD,US,Dance,Performances,New York,NY,1705107011,1706587464,1709179464,0
1598,Retro Future Festival,Retro Future Festival is a UK synthwave festival to be hosted at Londons Highbury Garage!,3500.0,8.160803920954665,GBP,GB,Music,Electronic Music,London,England,1494772374,1494783555,1495993155,1
483,SZNS Snapbox,The Snapbox houses and dispenses sleeves for trading cards.,10000.0,9.210440366976515,USD,US,Design,Toys,Grants Pass,OR,1730313909,1735666042,1740850042,0
1573,Below the Trees | The Beginning of a Feature Film,An independent young woman inherits her grandmother’s rural estate and soon meets an unsettling neighbor with malevolent intentions.,5500.0,8.612685172875459,USD,US,Film & Video,Horror,Columbus,OH,1499962554,1502805645,1505354400,1
1102,FAKING FILMATION,"The evolution of cartoons, rise & fall of Filmation & one man's quest to release his unofficial cartoon
despite looming legal threats.",30000.0,10.308985993422082,USD,US,Film & Video,Documentary,Chicago,IL,1581001403,1617705722,1620342000,1
522,Modular 3D-Printed M-1 Abrams Battle Tanks – 28/32mm Scale,Interactive 3D-Printed Modular M-1 Abrams Troop Transporter Tanks – 28/32mm (1:56 Scale) with Articulated Action Parts (11 Units only),20.0,3.044522437723423,GBP,GB,Games,Tabletop Games,London,England,1730386697,1737075927,1737939927,0
1251,Help Raise Recording Studio Costs for Eli's Birthday!,Help an amazing musician and friend make music and share it with the world!,600.0,6.398594934535208,USD,US,Music,Hip-Hop,Lafayette,IN,1575411983,1575665293,1580849293,0
1841,Fly the Colour Fantastica: A Comic Anthology,"High-quality printed comic anthology celebrating colour, the art of storytelling, and small victories through vastly different worlds.",7500.0,8.922791623969637,AUD,AU,Comics,Anthologies,Melbourne,VIC,1401014411,1404727027,1407506400,1
970,Death Spin,Horror Movie,1999.0,7.600902459542082,USD,US,Film & Video,Horror,Rochester,NY,1659214771,1659320973,1664504973,1
351,Malleable and True: A Hybrid Craft Anthology,An anthology exploring the complexity and craft of hybrid writing from the first ten issues of Brink Literary Journal,30000.0,10.308985993422082,USD,US,Publishing,Anthologies,Iowa City,IA,1745254624,1746541002,1748753940,1
1833,Internet SteamGauge,Internet usage translated to a real world brass pressure gauge from the early 20th century.,1500.0,7.313886831633462,USD,US,Technology,DIY Electronics,Fort Myers,FL,1401851495,1407423881,1409524680,1
1010,WICKED PURSUITS rare 1920s horror scifi art Orchid Garden,The FINAL BOOK documenting the eerie and creepy artworks from DER ORCHIDEENGARTEN (1919-1921) the FIRST fantasy horror magazine!,1921.0,7.561121589530238,USD,US,Publishing,Art Books,Culver City,CA,1647290716,1650566217,1652391000,1
1726,High end luxurious candles that are anything but typical!,"Being creative was my reality once before, please help me make this a successful reality once again.",800.0,6.68586094706836,USD,US,Crafts,Candles,Austin,TX,1447691187,1448214361,1450806361,0
798,BlinkTok,"Use your face to navigate apps like TikTok, Instagram, and Facebook. Makes technology more accessible for all people.",5000.0,8.517393171418904,USD,US,Technology,Apps,Kansas City,MO,1708643322,1708662669,1711251069,0
847,Celestial Elegance: Silver Plume Pendant Necklace,Phoenix feather: a path towards renewal.,500.0,6.2166061010848646,CAD,CA,Fashion,Jewelry,Vancouver,BC,1699948341,1701057975,1703649975,0
1691,"The Bovary Complex, A Teenage-Made Film","A short film written, directed, and starred by 17 year olds trying to learn the craft.",1000.0,6.90875477931522,USD,US,Film & Video,Narrative Film,Cleveland,OH,1452643025,1460159898,1462147200,1
235,Sjandiva,A guide book with a twist - a series of interconnected meta puzzles have been hidden in the pages of a satirical travel guide.,500.0,6.2166061010848646,GBP,GB,Games,Puzzles,London,England,1750405294,1755007310,1757019600,1
878,MiNotes Microbook,"Inspiration only lasts a moment. Focus your efforts and catch creativity with a Microbook, a pocket notebook that fits your lifestyle!",4000.0,8.294299608857235,USD,US,Crafts,Stationery,Columbia,MO,1687067314,1692104364,1693551600,1
1515,The Predatorial,I'm making a 4 song EP shining a light on the inside life of a high ranking individual with  predator tendencies and alarming secrets,4000.0,8.294299608857235,USD,US,Music,World Music,Atlanta,GA,1516820535,1517675861,1519490261,0
1500,"Beatz, Rhymez, & Bluntz Tour Experience Live Concert Event","By performing free shows, artist will be able expand their fanbase across the nation. Getting to the people one city at a time.",1000.0,6.90875477931522,USD,US,Music,Hip-Hop,New Orleans,LA,1414518473,1523393108,1523825108,0
411,Weocool: Instant Cooling Vest to Keep You Chill All Day,Fast Cooling in Seconds | 2 High-speed Fans | 3 Cooling Levels | 10000mAh Power Bank Attached | 430g Lightweight | Detachable to Clean,2000.0,7.601402334583733,USD,US,Technology,Gadgets,Denver,CO,1740641172,1743083996,1745675996,1
1679,Herman Hedning 1988-1998 PREKAMPBRIUM,"Alla Hermanstrippar 1988-1998, fett inbundna i oäkta dinosaurieläder och späckad med avslöjande fakta och rena lögner! Äg den!",100000.0,11.51293546492023,SEK,SE,Comics,Anthologies,Stockholm,Stockholm,1460156293,1462178483,1464770483,1
1338,Cartoon Dress,"Our Cartoon Dress hasn't been in production since 2014, but now we have the chance to bring them back!",1000.0,6.90875477931522,GBP,GB,Fashion,Ready-to-wear,Cornwall and Isles of Scilly,England,1559071770,1559127178,1560336778,1
1893,A very special NEW stripped-down Sea Wolf ALBUM!,Be a part of an extra special NEW stripped-down album by pre-ordering it + getting amazing exclusive merch + mementos + experiences!,50000.0,10.819798284210286,USD,US,Music,Indie Rock,Glassell Park,CA,1372364950,1376935708,1380610740,1
1345,Supermarket Insight: Dive into Global Grocery Trends,"A website that allows you to read catalogs of supermarkets around the world at once. You see, learn, and grow.",8000.0,8.987321812850125,HKD,HK,Journalism,Web,Hong Kong,Hong Kong Island,1554388312,1554892465,1558780465,0
1123,FrontDoor,A digital ministry solution to help you quickly connect with people in your community.,25000.0,10.12667110305036,USD,US,Technology,Web,Atlanta,GA,1604691464,1607387224,1610056800,1
