issue_d,sub_grade,term,home_ownership,fico_range_low,total_acc,pub_rec,revol_util,annual_inc,int_rate,dti,purpose,mort_acc,loan_amnt,application_type,installment,verification_status,pub_rec_bankruptcies,addr_state,initial_list_status,fico_range_high,revol_bal,id,open_acc,emp_length,loan_status,time_to_earliest_cr_line
2015-12-01,E3, 36 months,MORTGAGE,705.0,20.0,0.0,95.8,65000.0,18.99,28.75,debt_consolidation,2.0,3850.0,Individual,141.11,Verified,0.0,CO,w,709.0,29791.0,66586075,9.0,11.0,1,573264.0
2016-06-01,B4, 36 months,OWN,755.0,12.0,0.0,72.3,54500.0,10.75,8.5,debt_consolidation,2.0,6000.0,Individual,195.73,Source Verified,0.0,WI,f,759.0,10128.0,78450127,6.0,11.0,1,1033516.8
2016-02-01,C5, 36 months,MORTGAGE,660.0,16.0,0.0,96.8,70000.0,15.31,26.31,credit_card,3.0,6600.0,Individual,229.8,Source Verified,0.0,AR,w,664.0,11229.0,70673802,7.0,0.0,1,368236.8
2014-05-01,B5, 36 months,RENT,660.0,5.0,0.0,84.6,37000.0,12.99,10.64,credit_card,0.0,12000.0,Individual,404.27,Verified,0.0,AZ,w,664.0,10659.0,15019354,4.0,11.0,1,262828.8
2015-10-01,D3, 36 months,RENT,680.0,29.0,1.0,47.1,54000.0,16.99,16.0,medical,0.0,2000.0,Individual,71.3,Verified,1.0,OK,f,684.0,6874.0,60216752,8.0,6.0,1,468028.8
2015-03-01,D1, 36 months,RENT,670.0,15.0,1.0,28.5,13584.0,15.61,16.52,major_purchase,0.0,4500.0,Individual,157.35,Verified,1.0,MN,f,674.0,4310.0,41276987,7.0,0.0,1,510019.2
2016-02-01,A3, 36 months,MORTGAGE,685.0,27.0,1.0,25.2,114000.0,6.97,8.43,debt_consolidation,5.0,5000.0,Individual,154.32,Not Verified,1.0,CA,w,689.0,4868.0,72174522,11.0,9.0,1,523497.6
2015-03-01,A5, 60 months,MORTGAGE,760.0,27.0,0.0,33.7,56748.0,7.89,17.17,debt_consolidation,3.0,13900.0,Individual,281.12,Source Verified,0.0,NH,w,764.0,17676.0,41790325,10.0,3.0,1,644198.4
2016-03-01,A4, 36 months,MORTGAGE,660.0,35.0,1.0,51.7,120000.0,7.39,9.12,debt_consolidation,4.0,5000.0,Individual,155.28,Not Verified,1.0,VA,w,664.0,7749.0,73876195,10.0,11.0,1,1104537.6
2015-02-01,C5, 60 months,MORTGAGE,680.0,25.0,0.0,56.0,42000.0,14.99,30.74,credit_card,0.0,15000.0,Individual,356.78,Verified,0.0,NJ,f,684.0,6029.0,40451706,10.0,8.0,0,384048.0
2015-10-01,C2, 36 months,RENT,660.0,14.0,2.0,64.9,65000.0,12.69,7.36,credit_card,0.0,16000.0,Individual,536.72,Verified,0.0,NY,w,664.0,14545.0,62754816,11.0,8.0,1,113097.6
2014-01-01,A1, 36 months,MORTGAGE,725.0,38.0,0.0,32.6,100000.0,6.03,15.08,credit_card,1.0,10000.0,Individual,304.36,Source Verified,0.0,NY,f,729.0,17288.0,10548835,20.0,0.0,1,360374.4
2016-02-01,C5, 36 months,MORTGAGE,725.0,16.0,0.0,97.8,83000.0,15.31,15.92,debt_consolidation,2.0,35000.0,Individual,1218.61,Verified,0.0,PA,w,729.0,14088.0,71613087,5.0,11.0,1,494467.2
2015-12-01,A1, 36 months,RENT,715.0,23.0,0.0,73.9,96000.0,5.32,27.39,debt_consolidation,0.0,12000.0,Individual,361.38,Not Verified,0.0,OH,w,719.0,55771.0,66563627,11.0,9.0,1,1157155.2
2014-07-01,G4, 60 months,RENT,675.0,16.0,0.0,40.1,37895.0,25.99,22.65,moving,0.0,11325.0,Individual,339.01,Verified,0.0,MO,f,679.0,21880.0,22473585,11.0,0.0,0,536457.6
2014-07-01,A1, 36 months,OWN,740.0,43.0,0.0,49.2,184000.0,6.03,8.81,credit_card,4.0,15900.0,Individual,483.93,Source Verified,0.0,AZ,w,744.0,60226.0,22592579,13.0,2.0,1,731116.8
2015-04-01,A1, 36 months,MORTGAGE,700.0,40.0,0.0,33.3,60000.0,5.93,29.62,debt_consolidation,4.0,5000.0,Individual,151.96,Not Verified,0.0,TN,w,704.0,29496.0,45414754,22.0,1.0,1,862531.2
2015-10-01,E3, 36 months,MORTGAGE,665.0,17.0,0.0,57.0,70000.0,19.19,19.27,debt_consolidation,1.0,9475.0,Individual,348.23,Verified,0.0,FL,f,669.0,10080.0,61534185,11.0,11.0,1,610070.4
2015-06-01,F1, 60 months,OWN,675.0,28.0,1.0,52.8,47000.0,21.99,38.84,credit_card,3.0,23500.0,Individual,648.92,Verified,1.0,WV,w,679.0,10403.0,49663405,11.0,11.0,1,586310.4
2015-06-01,A1, 36 months,RENT,755.0,25.0,0.0,31.0,54000.0,5.32,19.78,debt_consolidation,0.0,6000.0,Individual,180.69,Not Verified,0.0,MA,w,759.0,5744.0,48374365,13.0,2.0,1,247190.4
2015-01-01,E4, 60 months,MORTGAGE,690.0,39.0,0.0,73.0,30000.0,20.99,21.16,credit_card,3.0,13100.0,Individual,354.33,Not Verified,0.0,AL,f,694.0,9707.0,37329182,11.0,3.0,0,639100.8
2016-02-01,B1, 36 months,MORTGAGE,715.0,32.0,0.0,103.0,248000.0,8.39,18.95,debt_consolidation,5.0,3000.0,Individual,94.55,Verified,0.0,TX,w,719.0,50974.0,70580907,11.0,11.0,1,707443.2
2014-05-01,C2, 36 months,RENT,675.0,21.0,1.0,65.3,30700.0,13.35,24.51,debt_consolidation,1.0,9500.0,Individual,321.7,Source Verified,1.0,CA,w,679.0,6266.0,17322817,11.0,1.0,1,289267.2
2015-10-01,B1, 36 months,RENT,675.0,9.0,0.0,68.4,37342.0,8.18,25.62,debt_consolidation,0.0,10000.0,Individual,314.2,Not Verified,0.0,MD,w,679.0,10188.0,63247353,5.0,7.0,1,423446.4
2015-08-01,B3, 36 months,MORTGAGE,675.0,43.0,0.0,72.6,70000.0,9.99,31.97,credit_card,1.0,24000.0,Individual,774.3,Source Verified,0.0,MD,w,679.0,42915.0,55961131,17.0,7.0,1,462758.4
2015-08-01,C2, 60 months,RENT,680.0,29.0,0.0,50.0,176200.0,12.69,11.49,debt_consolidation,0.0,35000.0,Individual,790.82,Source Verified,0.0,DC,f,684.0,48045.0,57991109,23.0,0.0,1,352339.2
2016-06-01,F4, 60 months,RENT,675.0,20.0,0.0,40.6,42000.0,27.49,3.97,debt_consolidation,0.0,12000.0,Individual,369.95,Verified,0.0,NC,f,679.0,4948.0,84010723,8.0,3.0,0,318297.6
2015-03-01,A1, 36 months,MORTGAGE,740.0,17.0,0.0,96.8,120000.0,5.93,6.67,credit_card,5.0,24000.0,Individual,729.37,Verified,0.0,GA,f,744.0,11617.0,43801776,2.0,3.0,1,546825.6
2014-11-01,B3, 36 months,MORTGAGE,685.0,26.0,0.0,70.7,70000.0,10.49,19.54,home_improvement,2.0,5000.0,Individual,162.49,Verified,0.0,NY,f,689.0,2122.0,34353166,7.0,0.0,1,649641.6
2014-10-01,A3, 36 months,RENT,720.0,34.0,0.0,64.7,65000.0,7.12,15.38,debt_consolidation,3.0,19000.0,Individual,587.71,Not Verified,0.0,CA,w,724.0,19216.0,28644664,11.0,11.0,1,804729.6
2014-12-01,D3, 60 months,RENT,670.0,36.0,1.0,42.7,55964.0,16.49,21.77,debt_consolidation,1.0,16800.0,Individual,412.94,Source Verified,1.0,VA,w,674.0,8164.0,36210491,15.0,11.0,1,736387.2
2015-04-01,A1, 36 months,RENT,805.0,15.0,0.0,14.9,51450.0,5.93,9.96,credit_card,0.0,5000.0,Individual,151.96,Not Verified,0.0,NY,f,809.0,4258.0,46348861,12.0,3.0,1,423273.6
2015-08-01,B2, 36 months,RENT,730.0,42.0,0.0,27.2,100000.0,9.17,15.5,vacation,1.0,12000.0,Individual,382.55,Not Verified,0.0,NY,w,734.0,19216.0,58592268,19.0,5.0,1,304992.0
2014-02-01,D2, 36 months,MORTGAGE,660.0,14.0,1.0,73.6,43000.0,17.57,18.76,other,0.0,14575.0,Individual,523.79,Verified,1.0,MI,w,664.0,9270.0,11445510,11.0,0.0,1,736473.6
2014-09-01,D1, 36 months,RENT,680.0,24.0,0.0,82.1,45000.0,15.61,30.64,debt_consolidation,3.0,18900.0,Individual,660.84,Source Verified,0.0,NM,f,684.0,11573.0,27701337,10.0,2.0,1,589075.2
2014-03-01,B1, 36 months,RENT,660.0,27.0,0.0,63.4,78000.0,9.67,2.96,debt_consolidation,0.0,15000.0,Individual,481.69,Verified,0.0,NY,w,664.0,6976.0,13167801,6.0,1.0,1,294364.8
2015-12-01,A1, 36 months,MORTGAGE,690.0,33.0,0.0,98.0,150000.0,5.32,22.44,credit_card,8.0,20000.0,Individual,602.3,Source Verified,0.0,NY,f,694.0,355571.0,66004347,8.0,11.0,1,1385856.0
2015-12-01,D5, 36 months,OWN,675.0,43.0,0.0,80.9,165000.0,17.86,13.81,other,7.0,35000.0,Individual,1262.88,Verified,0.0,NY,f,679.0,42485.0,65199931,15.0,8.0,1,481161.6
2015-09-01,E3, 36 months,RENT,690.0,9.0,1.0,55.0,96000.0,19.19,16.73,car,0.0,3050.0,Individual,112.1,Source Verified,1.0,OH,f,694.0,2749.0,59033472,6.0,0.0,0,384048.0
2015-07-01,E2, 60 months,RENT,695.0,19.0,0.0,77.3,50000.0,18.55,15.12,debt_consolidation,3.0,16000.0,Individual,411.1,Not Verified,0.0,IL,w,699.0,9664.0,54434068,4.0,11.0,0,460080.0
2014-05-01,G5, 60 months,RENT,660.0,19.0,0.0,96.5,86890.4,26.06,17.69,medical,0.0,24925.0,Individual,747.16,Verified,0.0,CA,w,664.0,20355.0,14548312,12.0,2.0,1,376012.8
2016-05-01,C1, 36 months,MORTGAGE,670.0,9.0,0.0,69.8,85000.0,11.99,7.93,credit_card,2.0,10000.0,Individual,332.1,Source Verified,0.0,MD,w,674.0,9770.0,79134900,7.0,3.0,1,368064.0
2015-10-01,C4, 36 months,RENT,665.0,29.0,0.0,81.4,28880.0,13.99,10.76,debt_consolidation,0.0,4250.0,Individual,145.24,Source Verified,0.0,WA,f,669.0,4478.0,61493832,19.0,1.0,1,289267.2
2016-01-01,C2, 36 months,RENT,660.0,33.0,0.0,81.2,51000.0,12.88,13.39,debt_consolidation,0.0,12000.0,Individual,403.64,Verified,0.0,IL,f,664.0,11204.0,68825415,20.0,7.0,1,389232.0
2014-04-01,D5, 60 months,MORTGAGE,680.0,20.0,0.0,79.0,74000.0,19.47,21.26,home_improvement,5.0,20000.0,Individual,524.0,Not Verified,0.0,MI,f,684.0,10977.0,13477596,9.0,11.0,1,499651.2
2015-08-01,C2, 36 months,RENT,665.0,21.0,4.0,25.4,26136.0,12.69,30.26,credit_card,0.0,9600.0,Individual,322.04,Verified,1.0,RI,w,669.0,7866.0,57136576,14.0,0.0,1,1083456.0
2015-02-01,C3, 36 months,RENT,685.0,36.0,1.0,36.0,110000.0,13.66,10.47,debt_consolidation,1.0,10000.0,Individual,340.13,Verified,1.0,NY,f,689.0,9392.0,707689,15.0,11.0,1,589161.6
2015-03-01,B3, 60 months,MORTGAGE,800.0,35.0,0.0,19.0,84234.0,9.99,23.65,debt_consolidation,3.0,17000.0,Individual,361.12,Source Verified,0.0,AL,w,804.0,5390.0,42414913,14.0,11.0,1,612662.4
2015-09-01,B2, 36 months,OWN,675.0,22.0,0.0,83.8,48000.0,9.17,17.4,home_improvement,0.0,6000.0,Individual,191.28,Source Verified,0.0,NJ,w,679.0,10137.0,59171347,10.0,1.0,1,315532.8
2015-04-01,A1, 36 months,MORTGAGE,710.0,23.0,0.0,34.6,121900.0,5.93,13.86,home_improvement,0.0,7000.0,Individual,212.74,Source Verified,0.0,NJ,w,714.0,14508.0,46224727,8.0,8.0,1,294451.2
2016-03-01,B1, 36 months,RENT,715.0,22.0,0.0,56.3,59000.0,8.39,16.56,debt_consolidation,1.0,10000.0,Individual,315.17,Not Verified,0.0,IN,w,719.0,4951.0,74703864,9.0,11.0,1,518054.4
2015-12-01,B4, 36 months,OWN,660.0,23.0,1.0,31.0,30000.0,10.64,38.2,home_improvement,0.0,6000.0,Individual,195.42,Source Verified,1.0,KY,w,664.0,3411.0,67888423,8.0,6.0,1,504921.6
2016-06-01,C3, 36 months,RENT,715.0,29.0,0.0,39.5,58000.0,13.99,18.3,debt_consolidation,0.0,20000.0,Individual,683.46,Verified,0.0,FL,w,719.0,14853.0,83645471,21.0,8.0,1,599616.0
2014-05-01,E1, 60 months,RENT,670.0,8.0,1.0,63.5,55000.0,18.99,17.24,debt_consolidation,0.0,18000.0,Individual,466.84,Source Verified,1.0,CA,w,674.0,19932.0,15850691,6.0,6.0,1,286588.8
2015-01-01,E1, 36 months,RENT,695.0,9.0,0.0,75.6,16436.0,18.54,20.96,debt_consolidation,0.0,3925.0,Individual,142.97,Not Verified,0.0,OR,f,699.0,12315.0,40017225,6.0,3.0,1,331430.4
2014-05-01,C2, 36 months,RENT,685.0,26.0,0.0,78.8,70000.0,13.35,28.01,debt_consolidation,1.0,26000.0,Individual,880.44,Source Verified,0.0,TX,w,689.0,19158.0,16391470,13.0,7.0,1,444355.2
2016-01-01,B4, 36 months,OWN,670.0,44.0,0.0,41.0,53000.0,10.78,36.84,credit_card,0.0,8000.0,Individual,261.08,Verified,0.0,KS,w,674.0,13293.0,68706607,24.0,5.0,1,357609.6
2016-05-01,B2, 36 months,RENT,720.0,14.0,1.0,39.3,59400.0,9.16,32.87,credit_card,0.0,9600.0,Individual,306.0,Not Verified,1.0,MN,w,724.0,13138.0,77387896,10.0,9.0,1,381283.2
2015-11-01,A4, 36 months,RENT,730.0,10.0,0.0,27.3,75000.0,7.26,13.65,major_purchase,0.0,10000.0,Individual,309.97,Not Verified,0.0,NY,f,734.0,11541.0,63519121,8.0,2.0,1,212889.6
2015-10-01,C1, 36 months,MORTGAGE,695.0,41.0,0.0,53.0,50000.0,12.29,15.84,vacation,2.0,1200.0,Individual,40.03,Source Verified,0.0,NC,w,699.0,4509.0,61318887,7.0,11.0,1,428716.8
2014-05-01,D3, 36 months,RENT,660.0,16.0,1.0,42.0,42000.0,18.25,1.0,major_purchase,0.0,3475.0,Individual,126.07,Verified,1.0,WI,w,664.0,439.0,15280048,3.0,0.0,1,533779.2
2016-01-01,A4, 36 months,OWN,750.0,22.0,0.0,44.8,90000.0,7.49,24.45,credit_card,0.0,30000.0,Individual,933.05,Source Verified,0.0,LA,w,754.0,33234.0,69523821,14.0,11.0,1,767923.2
2015-09-01,B1, 36 months,MORTGAGE,720.0,61.0,0.0,32.4,51000.0,8.18,20.84,credit_card,6.0,7000.0,Individual,219.94,Verified,0.0,MI,w,724.0,10922.0,60336216,20.0,11.0,1,631152.0
2014-01-01,C2, 36 months,MORTGAGE,700.0,20.0,0.0,30.1,90000.0,14.47,20.07,credit_card,10.0,12000.0,Individual,412.88,Verified,0.0,TN,f,704.0,54668.0,10178827,9.0,0.0,1,376012.8
2015-06-01,C4, 36 months,MORTGAGE,665.0,38.0,0.0,65.6,55000.0,13.99,39.41,debt_consolidation,2.0,10000.0,Individual,341.73,Source Verified,0.0,FL,f,669.0,23238.0,51006512,13.0,4.0,1,1217462.4
2015-12-01,B4, 36 months,OWN,690.0,13.0,0.0,76.0,53700.0,10.64,15.87,other,3.0,4000.0,Individual,130.28,Verified,0.0,NC,w,694.0,10178.0,65945424,9.0,11.0,1,602121.6
2014-04-01,B1, 36 months,RENT,715.0,12.0,0.0,53.3,180000.0,9.67,2.13,car,0.0,13300.0,Individual,427.1,Verified,0.0,CA,w,719.0,15709.0,14729160,6.0,1.0,1,255139.2
2014-05-01,B4, 36 months,RENT,665.0,37.0,3.0,30.7,83490.0,11.67,23.07,small_business,4.0,11200.0,Individual,370.24,Source Verified,1.0,CA,f,669.0,4268.0,16541730,13.0,1.0,1,552096.0
2015-01-01,D1, 36 months,RENT,670.0,5.0,0.0,70.2,38000.0,15.59,3.25,debt_consolidation,0.0,7900.0,Individual,276.15,Verified,0.0,FL,f,674.0,2036.0,38465505,4.0,11.0,1,299894.4
2015-07-01,A2, 36 months,OWN,690.0,52.0,0.0,17.9,80000.0,6.24,19.18,credit_card,0.0,15000.0,Individual,457.97,Source Verified,0.0,IN,w,694.0,17419.0,52007953,22.0,0.0,1,1193788.8
2015-05-01,A3, 36 months,MORTGAGE,715.0,12.0,0.0,93.7,32000.0,6.68,20.41,credit_card,0.0,10000.0,Individual,307.31,Verified,0.0,GA,w,719.0,6089.0,46614760,6.0,6.0,1,365472.0
2015-06-01,C3, 36 months,RENT,680.0,9.0,0.0,35.6,100000.0,13.33,11.17,credit_card,0.0,10000.0,Individual,338.54,Not Verified,0.0,AL,f,684.0,6404.0,51948385,9.0,1.0,1,99878.4
2016-01-01,C3, 36 months,MORTGAGE,695.0,12.0,0.0,88.6,67000.0,13.44,10.94,debt_consolidation,3.0,1600.0,Individual,54.26,Not Verified,0.0,CT,f,699.0,3631.0,68921854,6.0,11.0,1,352339.2
2015-11-01,B3, 36 months,MORTGAGE,675.0,17.0,1.0,37.0,81120.0,9.99,18.06,debt_consolidation,2.0,9000.0,Individual,290.37,Not Verified,0.0,GA,w,679.0,5731.0,65324035,8.0,4.0,1,567993.6
2015-01-01,E3, 60 months,RENT,665.0,18.0,0.0,58.8,50000.0,19.99,14.23,debt_consolidation,0.0,16000.0,Individual,423.82,Source Verified,0.0,TX,w,669.0,13113.0,39741099,6.0,5.0,1,431395.2
2014-04-01,B3, 36 months,RENT,670.0,38.0,0.0,80.0,65000.0,11.99,24.11,debt_consolidation,4.0,10000.0,Individual,332.1,Source Verified,0.0,OR,f,674.0,8078.0,13637427,12.0,11.0,1,420681.6
2015-05-01,A2, 36 months,MORTGAGE,730.0,43.0,0.0,27.4,105000.0,6.39,14.98,debt_consolidation,2.0,10000.0,Individual,305.99,Not Verified,0.0,MN,w,734.0,10847.0,47220164,18.0,3.0,1,586310.4
2016-03-01,A1, 36 months,MORTGAGE,795.0,24.0,0.0,34.5,175000.0,5.32,8.96,debt_consolidation,7.0,40000.0,Individual,1204.6,Verified,0.0,VA,w,799.0,10863.0,74865771,6.0,3.0,1,1001894.4
2014-07-01,D5, 60 months,MORTGAGE,670.0,34.0,0.0,62.6,98000.0,18.24,23.11,home_improvement,0.0,25000.0,Individual,638.11,Source Verified,0.0,IN,w,674.0,47468.0,19656735,10.0,11.0,1,965088.0
2016-06-01,A5, 36 months,MORTGAGE,680.0,25.0,2.0,38.1,450000.0,8.59,4.06,credit_card,2.0,25000.0,Individual,790.24,Source Verified,0.0,CA,f,684.0,176579.0,83757649,11.0,0.0,1,504921.6
2016-04-01,C3, 36 months,MORTGAGE,675.0,14.0,0.0,78.9,45000.0,13.67,11.55,credit_card,2.0,8575.0,Individual,291.71,Source Verified,0.0,AL,w,679.0,2681.0,75904095,6.0,11.0,1,612662.4
2014-11-01,A2, 36 months,MORTGAGE,665.0,59.0,1.0,17.4,83000.0,6.49,18.2,home_improvement,5.0,8000.0,Individual,245.16,Source Verified,1.0,FL,f,669.0,3931.0,35653936,18.0,4.0,1,891561.6
2015-05-01,B3, 36 months,RENT,665.0,33.0,0.0,73.7,72000.0,9.99,33.37,credit_card,5.0,16000.0,Individual,516.2,Verified,0.0,AK,w,669.0,14437.0,48754575,13.0,3.0,0,428544.0
2014-06-01,B3, 36 months,RENT,720.0,31.0,0.0,75.9,95000.0,10.99,15.06,debt_consolidation,0.0,17600.0,Individual,576.12,Verified,0.0,WI,f,724.0,4556.0,18604728,5.0,6.0,1,428544.0
2014-03-01,C1, 36 months,MORTGAGE,660.0,14.0,1.0,50.7,25000.0,13.65,8.64,debt_consolidation,0.0,3000.0,Individual,102.03,Source Verified,1.0,IN,w,664.0,2027.0,12426799,8.0,0.0,1,381110.4
2016-02-01,B4, 36 months,RENT,715.0,8.0,0.0,62.2,40000.0,10.78,13.77,credit_card,0.0,10000.0,Individual,326.35,Verified,0.0,CA,w,719.0,7775.0,70052276,4.0,1.0,1,328752.0
2014-03-01,B3, 36 months,RENT,695.0,11.0,0.0,68.4,77000.0,11.99,20.56,credit_card,0.0,10000.0,Individual,332.1,Not Verified,0.0,MI,w,699.0,10323.0,13047138,8.0,8.0,1,241920.0
2014-07-01,A2, 36 months,MORTGAGE,785.0,24.0,0.0,45.2,134000.0,6.49,7.45,debt_consolidation,4.0,20000.0,Individual,612.89,Source Verified,0.0,NC,f,789.0,48994.0,20799520,11.0,11.0,1,641692.8
2016-01-01,C4, 36 months,MORTGAGE,700.0,29.0,0.0,69.8,37000.0,13.99,39.15,debt_consolidation,2.0,8000.0,Individual,273.39,Verified,0.0,CA,f,704.0,38310.0,69703249,11.0,11.0,1,336700.8
2014-08-01,A1, 36 months,MORTGAGE,715.0,19.0,0.0,24.1,185000.0,6.03,12.58,credit_card,3.0,24000.0,Individual,730.46,Source Verified,0.0,TX,w,719.0,2457.0,11945570,9.0,2.0,1,565315.2
2014-09-01,A1, 36 months,MORTGAGE,770.0,36.0,0.0,30.2,27000.0,6.03,18.53,debt_consolidation,2.0,2900.0,Individual,88.27,Source Verified,0.0,MO,w,774.0,49612.0,26860236,9.0,11.0,1,799545.6
2015-02-01,B4, 36 months,MORTGAGE,690.0,26.0,0.0,56.1,65000.0,10.99,31.7,debt_consolidation,1.0,24000.0,Individual,785.62,Source Verified,0.0,MO,f,694.0,27021.0,40942205,16.0,11.0,1,355104.0
2016-05-01,B2, 36 months,MORTGAGE,690.0,31.0,0.0,54.0,45000.0,9.16,29.86,credit_card,6.0,2500.0,Individual,79.69,Source Verified,0.0,CA,f,694.0,30638.0,78279663,16.0,5.0,1,478656.0
2016-06-01,C3, 36 months,RENT,670.0,25.0,1.0,70.0,151875.0,13.67,13.05,debt_consolidation,0.0,23000.0,Individual,782.41,Not Verified,0.0,CT,f,674.0,13161.0,80678535,13.0,5.0,1,473385.6
2015-09-01,A5, 36 months,RENT,735.0,29.0,0.0,62.4,400000.0,7.89,11.03,debt_consolidation,5.0,35000.0,Individual,1095.0,Source Verified,0.0,TX,f,739.0,51692.0,60912067,14.0,8.0,0,807235.2
2014-06-01,C2, 36 months,RENT,665.0,30.0,1.0,53.0,42000.0,13.35,32.26,credit_card,0.0,8000.0,Individual,270.91,Verified,0.0,TX,w,669.0,10491.0,18214364,12.0,0.0,1,746841.6
2014-06-01,B5, 36 months,MORTGAGE,680.0,16.0,0.0,78.3,40000.0,12.49,23.34,major_purchase,3.0,8000.0,Individual,267.6,Source Verified,0.0,VA,f,684.0,18003.0,19135524,8.0,11.0,1,581126.4
2015-07-01,B1, 36 months,OWN,690.0,21.0,0.0,48.1,130000.0,8.18,11.7,credit_card,1.0,30000.0,Individual,942.59,Source Verified,0.0,IL,w,694.0,26996.0,55941268,8.0,3.0,1,1256947.2
2016-02-01,A1, 36 months,RENT,725.0,49.0,0.0,41.3,100000.0,5.32,19.88,credit_card,0.0,23000.0,Individual,692.64,Not Verified,0.0,MA,w,729.0,15046.0,69697443,20.0,0.0,1,473299.2
2016-03-01,B2, 36 months,RENT,720.0,12.0,0.0,41.8,25000.0,9.16,10.13,debt_consolidation,0.0,5500.0,Individual,175.31,Not Verified,0.0,MO,w,724.0,3013.0,73262352,10.0,2.0,1,191808.0
