age,years_employed,annual_income,loan_amount,loan_term_months,credit_score,num_credit_lines,num_late_payments,debt_to_income_ratio,months_since_derogatory,has_mortgage,num_dependents,savings_balance,checking_balance,loan_to_income_ratio,high_risk
63,6,84201,12326,12,652,9,2,0.28,0,0,1,10000,209,0.15,0
22,0,80641,17107,60,577,14,1,0.37,9,1,3,3139,3657,0.21,1
56,2,73720,18664,24,629,4,1,0.3,22,0,0,6571,2393,0.25,0
26,9,47235,12326,24,850,6,1,0.38,24,1,0,1629,3086,0.26,0
40,8,84434,17018,24,591,12,1,0.22,20,0,2,1093,21527,0.2,0
28,6,77814,9608,12,765,1,2,0.32,15,0,2,3041,1356,0.12,0
58,0,39683,29403,48,647,12,2,0.38,8,0,0,11262,327,0.74,1
37,7,68754,9515,36,704,9,0,0.53,15,0,1,4489,7290,0.14,0
23,7,37497,27400,12,749,5,1,0.52,4,0,2,2903,255,0.73,0
44,5,64216,5510,24,671,3,1,0.52,3,1,0,7352,795,0.09,0
33,9,25602,10633,12,621,4,3,0.48,10,1,2,1637,1893,0.42,1
69,2,26606,10953,12,635,1,0,0.63,120,1,0,1128,672,0.41,1
28,2,83208,15794,12,637,14,1,0.31,11,1,3,3218,1685,0.19,0
45,0,78337,22406,48,799,9,3,0.33,82,0,1,1772,1557,0.29,0
21,8,67292,6312,60,531,14,0,0.32,14,1,0,1179,9792,0.09,0
39,6,51225,6871,36,508,8,1,0.34,17,0,1,14541,125,0.13,0
47,0,14829,5760,48,513,4,1,0.13,47,0,4,69120,1990,0.39,0
66,0,47219,29498,48,578,2,1,0.39,2,0,2,760,656,0.62,1
26,1,61518,15971,60,706,14,1,0.42,6,0,0,2983,973,0.26,1
63,8,37520,6970,48,710,9,1,0.31,109,0,1,6059,3820,0.19,0
27,3,34329,10240,12,601,4,1,0.09,21,0,1,623,3196,0.3,0
66,1,100932,27147,12,647,9,1,0.35,1,0,0,3761,2636,0.27,0
54,0,47565,11306,24,560,10,1,0.16,1,1,0,4104,453,0.24,0
33,0,61537,10912,48,568,3,1,0.41,71,0,1,8742,6666,0.18,1
36,0,72190,8360,24,696,7,0,0.37,61,0,1,1944,689,0.12,0
55,0,29711,7222,36,733,7,1,0.38,18,1,0,2496,8308,0.24,0
69,0,53992,27173,12,611,10,0,0.19,5,0,2,15768,885,0.5,0
59,7,94828,36473,36,780,13,3,0.54,53,1,1,8129,5619,0.38,1
23,4,121736,7397,60,727,4,0,0.38,11,1,0,11773,2022,0.06,0
21,1,50009,31037,12,777,2,1,0.21,16,0,0,598,286,0.62,0
25,14,43522,9972,36,625,11,1,0.44,34,0,2,2203,1222,0.23,0
61,2,56078,18401,60,771,9,3,0.36,13,0,2,30318,11761,0.33,0
23,9,55371,31136,36,824,4,1,0.63,29,0,2,4443,4472,0.56,0
48,11,98064,12245,60,616,8,2,0.27,64,0,0,4226,1120,0.12,0
37,0,29786,10973,60,637,14,1,0.16,47,0,1,4452,7585,0.37,0
45,5,42619,21604,12,574,2,1,0.39,14,0,3,32337,2465,0.51,0
63,2,28041,6863,24,558,8,1,0.5,10,1,1,2007,11015,0.24,1
53,2,29553,26588,60,559,11,2,0.7,10,0,0,11001,1657,0.9,1
29,7,59176,14554,60,585,10,3,0.86,12,1,2,6746,1311,0.25,1
55,2,73491,9446,12,671,5,1,0.12,20,0,0,953,5361,0.13,0
33,3,35429,9297,24,588,7,1,0.33,16,1,0,3434,2385,0.26,1
50,4,72117,5825,48,669,7,1,0.16,4,0,0,1807,3338,0.08,0
67,3,85458,9684,48,671,12,0,0.31,5,1,0,1066,700,0.11,0
34,0,128972,11402,24,612,9,2,0.72,12,0,1,20654,6557,0.09,0
27,8,50760,7067,36,644,3,2,0.23,24,1,0,1136,5326,0.14,0
33,9,35600,13000,12,607,10,1,0.35,26,0,3,12078,7996,0.37,0
42,6,29695,17743,24,625,4,0,0.26,19,0,1,1747,405,0.6,1
59,3,28257,11753,48,585,10,0,0.2,40,0,1,25056,503,0.42,0
40,2,91572,19883,60,656,4,2,0.62,40,0,1,2969,795,0.22,1
35,2,22981,8231,48,601,13,1,0.12,16,0,2,7352,1389,0.36,0
64,14,90117,24392,60,556,10,0,0.34,3,0,1,2491,417,0.27,0
37,8,31754,14372,12,697,5,2,0.36,22,0,2,364,3644,0.45,0
66,1,34800,33764,60,700,14,3,0.35,14,0,2,664,1116,0.97,1
43,5,45443,56870,24,738,6,1,0.3,4,1,2,503,7198,1.25,1
45,3,34481,10075,60,568,3,2,0.59,120,1,1,6664,18193,0.29,1
44,7,78119,10327,36,611,13,1,0.03,13,0,2,4748,940,0.13,0
64,7,121378,11524,24,668,4,0,0.42,29,1,1,10032,777,0.09,0
60,9,35287,19099,12,609,3,1,0.42,20,0,0,2175,4113,0.54,1
48,1,39493,29601,24,695,2,0,0.39,4,0,0,363,2011,0.75,1
34,5,45176,9030,36,689,10,3,0.23,1,0,3,23442,2715,0.2,0
64,0,64249,16793,12,688,12,1,0.53,29,0,0,16122,7803,0.26,0
20,0,45399,12313,48,766,9,1,0.52,8,1,2,7697,1340,0.27,0
44,8,98088,19358,36,701,1,2,0.22,8,0,0,18639,559,0.2,0
26,1,86969,33046,12,662,2,1,0.17,94,1,1,4350,467,0.38,1
28,1,27099,11565,60,634,8,0,0.14,18,0,2,6756,1487,0.43,0
43,4,63607,4905,24,640,7,4,0.38,0,0,0,2112,1227,0.08,1
20,7,104837,20875,12,564,12,1,0.36,12,0,2,1359,4681,0.2,1
63,0,38277,8106,24,508,1,1,0.3,26,1,2,740,8364,0.21,1
27,0,42313,12260,60,687,5,0,0.66,11,0,1,1991,8328,0.29,1
43,1,37645,21422,12,747,10,2,0.28,0,0,1,119894,836,0.57,0
30,9,38042,15969,48,623,6,1,0.38,17,0,0,792,747,0.42,0
36,6,21285,12568,36,776,5,0,0.32,3,1,1,1595,245,0.59,0
27,10,25231,9456,12,635,4,1,0.64,28,0,0,5628,1814,0.37,0
54,0,50956,2345,60,493,14,1,0.05,28,1,0,87286,4784,0.05,0
54,0,104485,20312,12,723,13,0,0.3,1,0,3,1394,831,0.19,0
52,6,36073,11478,24,611,1,2,0.44,10,0,1,2311,354,0.32,1
24,5,35547,33123,12,730,7,5,0.32,16,1,2,11001,14391,0.93,1
61,6,114778,16963,48,547,9,3,0.15,23,1,1,10279,832,0.15,1
58,8,28166,9655,12,682,6,1,0.38,10,0,0,2135,1597,0.34,0
60,6,21362,25339,36,585,3,1,0.11,10,0,1,1806,1082,1.19,1
47,6,32394,26653,12,666,10,2,0.45,120,0,2,8412,417,0.82,0
26,7,35193,11714,24,711,14,0,0.29,1,1,0,3413,4875,0.33,0
28,7,20460,27342,12,692,4,1,0.26,120,0,2,6939,264,1.34,0
27,8,45980,9574,48,655,10,0,0.51,1,1,1,4010,6227,0.21,0
31,9,78764,14702,60,539,5,2,0.2,10,0,0,7492,2428,0.19,0
53,11,25771,18823,12,708,12,1,0.12,20,0,1,8482,1345,0.73,0
52,2,51215,21394,12,732,12,1,0.21,4,1,1,474,1370,0.42,0
67,6,59752,19397,36,566,1,3,0.66,4,1,0,2819,2980,0.32,1
42,3,47019,10942,48,578,5,2,0.2,8,0,2,7335,891,0.23,0
43,1,53790,25750,60,735,1,0,0.4,108,1,3,12999,2196,0.48,0
56,2,54104,12398,24,633,9,2,0.48,14,1,2,3299,680,0.23,1
54,6,32651,9495,12,580,7,0,0.21,25,1,2,537,169,0.29,0
63,6,103703,9579,60,671,3,2,0.21,36,1,3,22003,3564,0.09,0
59,6,91480,42787,24,598,9,0,0.38,40,0,3,13722,26393,0.47,0
41,4,88872,8559,48,662,2,2,0.38,34,1,0,5577,3369,0.1,0
46,5,81376,28997,48,616,12,0,0.55,12,1,1,2814,1716,0.36,0
54,8,22303,6759,60,623,7,1,0.23,3,0,0,10100,1168,0.3,0
20,0,77888,17903,24,738,9,2,0.29,9,0,1,2847,1209,0.23,0
54,5,68036,15966,48,452,6,1,0.78,7,0,3,14061,1168,0.23,1
56,5,22736,35338,60,694,10,0,0.08,4,1,0,42451,2250,1.55,0
66,8,44026,9021,48,725,5,2,0.05,0,1,2,2737,130,0.2,0
33,0,56297,7643,48,600,12,0,0.14,82,0,2,12538,108,0.14,0
22,10,112663,12457,48,725,7,0,0.52,76,0,0,2239,2969,0.11,0
20,5,70429,36274,36,573,14,0,0.28,1,0,0,16862,1452,0.52,0
24,6,31815,7859,24,597,6,1,0.28,5,0,1,3656,611,0.25,1
45,3,114427,2826,60,587,5,1,0.21,4,0,0,27928,593,0.02,0
33,7,50105,13847,60,726,14,2,0.49,9,0,1,3522,978,0.28,0
58,5,43134,23616,24,510,2,0,0.14,6,1,1,1673,1141,0.55,1
46,9,41624,7271,24,781,8,0,0.26,87,0,1,3290,8653,0.17,0
28,0,21768,22220,24,625,13,2,0.21,2,1,0,3760,557,1.02,1
34,5,46402,7175,24,699,7,2,0.0,7,0,1,6526,4189,0.15,0
34,6,62864,12235,12,692,6,3,0.28,2,1,0,3312,3460,0.19,0
45,4,40429,20985,60,662,5,1,0.34,117,0,3,6598,1436,0.52,0
61,3,60489,6551,12,601,5,0,0.23,75,1,0,6739,4194,0.11,0
32,3,31818,14896,48,749,9,2,0.31,37,0,3,2942,2939,0.47,1
51,5,45685,27694,48,608,1,2,0.31,16,0,2,7288,454,0.61,1
58,0,57427,17753,60,591,9,1,0.33,6,0,2,2432,941,0.31,0
68,8,53897,8670,48,720,6,3,0.19,7,0,0,54164,2769,0.16,0
51,3,21966,33230,24,661,4,1,0.18,17,1,0,7037,936,1.51,1
23,5,39359,19831,12,758,10,1,0.36,43,0,1,10247,3539,0.5,0
49,6,113406,4375,24,644,14,1,0.13,9,1,0,3887,6494,0.04,0
56,2,38321,22438,48,597,7,0,0.32,11,0,3,2069,1754,0.59,1
42,4,49409,9482,12,671,9,1,0.6,27,1,1,13402,928,0.19,0
58,0,46939,15032,24,614,5,2,0.34,8,0,4,7301,819,0.32,1
64,7,107378,24460,60,600,14,1,0.08,26,0,2,213,1211,0.23,0
34,9,93450,9606,24,716,5,2,0.38,14,0,0,49552,1121,0.1,0
62,0,73406,4977,48,796,8,1,0.47,1,1,2,11913,4677,0.07,0
48,3,30133,32969,12,630,7,1,0.23,15,0,0,3111,948,1.09,1
55,0,58664,26869,60,572,13,1,0.31,75,0,0,10165,1490,0.46,1
32,4,65118,12678,12,637,13,1,0.22,10,0,0,8151,4262,0.19,0
51,7,34568,22293,60,691,8,1,0.28,11,0,3,8904,1257,0.64,0
26,8,31721,10703,12,670,11,3,0.25,2,1,1,1729,1109,0.34,1
41,9,114979,14160,48,745,12,2,0.42,28,0,2,5352,4714,0.12,0
47,10,42175,12251,60,703,10,2,0.6,56,1,0,7062,6476,0.29,0
21,4,109917,10966,36,561,2,0,0.36,13,1,1,21553,1885,0.1,0
61,0,80704,16573,12,610,9,1,0.12,8,1,1,5558,11234,0.21,1
64,4,60110,6471,12,539,3,3,0.73,94,0,0,8245,2169,0.11,1
25,7,61467,11487,24,741,6,0,0.44,41,0,0,1648,4740,0.19,0
47,0,24337,16134,60,490,6,2,0.47,25,1,1,5328,15529,0.66,1
47,11,54360,40249,36,547,2,2,0.34,10,0,2,13911,905,0.74,0
63,8,99559,6630,48,609,12,1,0.38,7,0,0,2162,1018,0.07,0
63,4,68917,18257,24,695,13,1,0.3,37,1,4,3084,4356,0.26,0
39,2,52953,19498,36,608,7,1,0.49,22,0,0,1545,1515,0.37,1
49,2,115377,4332,60,620,9,1,0.28,22,0,1,966,642,0.04,0
30,5,44688,17091,36,622,12,2,0.42,2,0,0,1749,1231,0.38,1
47,4,35962,22655,12,663,10,2,0.5,21,0,0,9650,381,0.63,1
44,8,52940,19018,12,552,11,0,0.54,51,0,3,3657,1857,0.36,1
58,3,71914,12703,24,574,1,1,0.5,88,0,2,1756,2163,0.18,1
52,7,20766,16316,60,784,8,0,0.2,3,0,2,67165,5963,0.79,0
20,4,56524,14792,60,682,2,0,0.59,29,1,3,2117,6624,0.26,0
46,6,73509,4848,36,710,14,2,0.45,25,1,2,10399,1275,0.07,0
32,4,42837,15002,24,654,1,2,0.4,66,1,2,7328,18367,0.35,0
60,7,85261,10718,60,638,8,0,0.41,41,0,2,6619,554,0.13,0
22,7,67547,8752,12,686,2,2,0.33,100,1,1,546,387,0.13,0
58,6,143013,59336,36,708,6,2,0.28,96,1,1,22565,461,0.41,0
25,7,33681,28326,48,717,6,3,0.29,7,1,2,7211,498,0.84,0
27,1,74262,6700,12,639,5,0,0.54,38,1,0,14805,4162,0.09,0
46,6,29476,16448,24,726,8,1,0.36,22,0,3,19272,11503,0.56,0
28,9,21857,32042,60,452,3,1,0.39,7,1,0,38422,12034,1.47,1
56,6,17716,5444,12,721,13,1,0.36,6,1,3,1483,227,0.31,0
52,0,64161,13991,48,615,10,0,0.25,2,0,0,2074,4640,0.22,0
61,4,53751,14392,48,694,4,0,0.03,47,0,0,2444,9698,0.27,0
63,6,38579,6218,24,598,7,1,0.47,11,0,0,1737,5419,0.16,1
43,1,20196,16776,12,543,7,1,0.45,58,0,3,24004,900,0.83,1
34,0,34710,26101,36,677,13,0,0.35,28,1,0,1474,2175,0.75,1
51,3,49121,33018,12,529,12,0,0.19,33,1,2,3117,634,0.67,1
51,2,72881,11503,48,618,14,0,0.62,10,0,2,693,4114,0.16,0
43,4,48617,59933,24,585,8,1,0.3,18,0,0,11830,361,1.23,0
60,0,55605,3886,24,635,2,4,0.39,15,1,4,4216,3842,0.07,1
68,7,40616,16543,36,713,11,2,0.24,8,0,0,14185,827,0.41,0
68,2,117549,5725,24,610,12,0,0.15,53,0,2,11398,2696,0.05,0
31,8,29462,14102,24,675,2,0,0.44,29,0,1,685,1368,0.48,0
58,3,34557,9767,24,709,4,1,0.12,1,0,0,6135,1216,0.28,0
21,4,38323,18108,24,601,13,1,0.38,51,0,0,1327,5122,0.47,1
22,4,64302,12380,24,602,10,2,0.38,3,1,2,5821,9692,0.19,1
68,2,29160,8138,48,759,13,3,0.18,15,0,3,2432,698,0.28,1
56,14,52462,8466,12,643,9,1,0.16,25,0,0,44370,2220,0.16,0
68,3,53234,42594,60,690,10,3,0.23,0,1,0,120103,547,0.8,0
36,9,34641,17432,24,690,12,0,0.26,31,1,4,3663,1089,0.5,0
68,0,57814,4811,60,554,9,1,0.12,32,0,0,5534,812,0.08,0
21,6,29616,18591,60,589,13,0,0.18,31,1,1,316,452,0.63,1
21,6,28042,11886,48,680,13,2,0.36,5,1,1,683,5797,0.42,0
47,4,51523,13396,24,484,4,1,0.65,8,1,0,7812,2025,0.26,1
42,2,21378,21849,60,633,9,0,0.5,8,1,2,4727,990,1.02,1
56,3,16774,27171,24,580,14,2,0.37,96,1,3,8148,1695,1.62,1
51,3,63985,7980,36,738,3,3,0.52,2,0,1,1886,6740,0.12,0
52,14,82824,13123,36,677,12,3,0.52,16,1,2,7067,5599,0.16,0
20,4,38816,9627,36,745,5,0,0.3,61,1,2,236,3341,0.25,0
38,7,35100,19112,60,646,10,2,0.39,44,0,1,2365,865,0.54,1
21,12,81045,11621,36,640,9,0,0.5,51,0,0,8603,2061,0.14,0
63,1,27645,13596,48,625,6,4,0.52,107,1,2,37642,544,0.49,0
45,5,24792,11359,48,609,3,2,0.52,14,1,1,4271,1642,0.46,1
51,3,69829,12535,60,850,10,3,0.2,11,0,0,9974,5301,0.18,1
25,4,49242,37152,24,714,9,0,0.53,0,0,3,2201,6499,0.75,1
51,4,83486,56075,12,564,6,1,0.63,4,1,2,8369,891,0.67,1
23,2,16812,16751,24,850,4,1,0.57,24,0,4,2717,4518,1.0,1
30,5,24334,12581,24,617,14,0,0.19,5,1,0,51310,3604,0.52,0
36,0,49373,5128,24,675,4,0,0.15,39,0,2,3312,1387,0.1,0
57,8,60405,8465,24,725,8,0,0.42,1,0,2,4008,4108,0.14,0
43,7,74869,12381,12,526,7,1,0.57,9,1,4,12443,6966,0.17,1
24,3,53498,8698,36,583,1,0,0.38,35,0,3,8981,4608,0.16,0
53,3,53227,9265,24,781,6,0,0.31,8,0,4,3169,567,0.17,0
25,6,40348,34380,48,632,8,2,0.34,39,0,4,8036,1331,0.85,1
41,1,108602,13592,60,729,3,2,0.5,120,0,0,1386,2806,0.13,0
30,12,28239,14341,60,613,14,1,0.3,47,1,2,6448,747,0.51,0
67,6,58659,8914,48,642,9,1,0.42,12,0,0,9500,10034,0.15,0
35,6,29914,27079,24,792,10,1,0.33,69,0,2,2959,2552,0.91,0
52,7,64048,11759,12,685,2,2,0.22,1,0,4,3152,1097,0.18,1
28,2,29187,9774,36,622,14,1,0.2,38,0,0,2309,1024,0.33,0
25,9,71104,5174,60,595,6,1,0.43,0,1,1,877,841,0.07,1
35,5,51847,12878,36,602,12,0,0.0,5,0,2,8088,3930,0.25,0
48,8,117280,9592,12,749,1,1,0.42,120,1,0,2778,4479,0.08,0
22,4,42594,36707,60,711,12,1,0.32,13,0,0,9582,871,0.86,0
39,10,60626,40390,36,558,11,1,0.49,51,0,0,3948,9101,0.67,1
55,6,33195,6366,12,656,2,1,0.44,14,1,0,10277,1181,0.19,0
38,13,42448,6813,36,644,13,0,0.36,54,1,2,628,752,0.16,0
45,3,51682,11318,24,675,5,0,0.19,100,1,1,1242,3056,0.22,1
22,5,22842,8187,12,601,1,0,0.2,17,0,0,1789,483,0.36,0
38,0,24129,15221,36,737,8,1,0.25,24,0,4,20670,402,0.63,0
39,2,66166,10982,24,649,1,2,0.48,29,1,2,7972,633,0.17,0
51,7,45567,15808,24,679,13,1,0.62,81,0,1,3582,762,0.35,0
26,9,36444,24579,12,587,9,3,0.4,8,1,0,2770,4123,0.67,1
60,16,33911,7054,48,591,10,1,0.26,28,1,2,10049,434,0.21,1
52,4,34570,24273,60,850,11,0,0.28,11,1,1,2423,2712,0.7,1
59,1,51858,8628,12,794,3,1,0.28,7,1,2,11881,4562,0.17,0
58,8,61237,48488,24,644,12,3,0.51,2,0,2,3800,8858,0.79,1
37,0,17222,35333,24,772,2,2,0.28,29,1,0,23193,1052,2.05,1
59,7,99351,12483,12,747,1,2,0.34,64,0,3,1581,1148,0.13,1
20,2,95879,7493,48,599,9,1,0.55,12,0,1,4215,16985,0.08,1
30,5,15285,6681,60,592,4,0,0.26,24,0,1,1631,8010,0.44,0
47,9,84369,22565,36,703,12,2,0.43,30,0,4,34677,1336,0.27,0
44,4,83084,13118,12,670,1,0,0.49,16,1,1,5039,6382,0.16,0
69,8,49031,23297,60,617,1,0,0.36,70,1,2,1467,2373,0.48,0
42,8,25627,50138,60,707,7,1,0.64,13,1,2,1664,1840,1.96,1
50,0,81439,8414,24,534,2,0,0.6,4,0,0,9107,27766,0.1,1
49,1,43450,6386,36,659,7,0,0.39,4,1,4,554,5897,0.15,0
61,0,64501,14995,12,550,12,2,0.23,66,1,1,3968,14407,0.23,0
54,13,148687,26551,24,553,7,1,0.24,120,1,1,1767,562,0.18,1
26,4,55598,7598,24,593,10,2,0.38,10,1,3,4057,13060,0.14,1
35,12,30994,13640,48,679,14,0,0.19,4,1,1,5549,1522,0.44,0
45,0,41445,30394,60,595,9,1,0.39,19,0,2,4367,1500,0.73,1
67,2,33033,5015,12,552,13,1,0.6,37,1,2,3571,2776,0.15,1
68,8,60885,15385,12,688,7,0,0.36,28,1,0,5995,3176,0.25,0
21,5,32760,9661,12,769,13,3,0.35,90,1,0,40130,5771,0.29,0
20,7,38699,14392,24,701,14,1,0.48,51,0,0,22666,4778,0.37,0
67,0,25791,20452,48,794,1,2,0.43,60,1,3,3277,881,0.79,1
31,10,45887,15252,36,762,12,1,0.18,23,0,0,11731,604,0.33,0
24,8,53550,7287,24,611,13,1,0.28,11,1,0,11061,1464,0.14,0
56,6,12805,9889,36,700,8,0,0.63,36,1,0,3118,1781,0.77,1
51,2,55814,31443,48,642,8,2,0.4,17,0,0,4730,1994,0.56,1
28,6,47913,16274,60,734,4,1,0.2,10,0,2,9367,8132,0.34,0
60,3,33439,22118,12,642,13,3,0.32,4,1,4,2045,2214,0.66,1
54,0,135173,15524,36,586,8,2,0.08,22,1,0,3682,32886,0.11,1
38,4,79160,21708,24,759,4,2,0.07,27,1,1,3876,8869,0.27,0
67,4,28333,10533,36,675,8,2,0.5,25,0,2,3555,1297,0.37,1
35,9,74542,8429,60,596,5,0,0.35,3,1,1,3391,256,0.11,0
22,0,91331,21125,12,610,4,1,0.43,25,0,3,8355,25006,0.23,0
39,5,52365,26276,36,596,6,1,0.52,5,1,1,5073,1325,0.5,1
43,0,58730,7718,60,569,2,3,0.4,32,0,0,10585,5022,0.13,1
52,6,58056,9456,24,611,12,1,0.46,16,1,4,101129,867,0.16,0
43,6,17276,12113,48,679,2,2,0.39,56,0,1,2586,10493,0.7,1
30,4,44648,35309,24,655,2,0,0.54,45,1,0,6381,4594,0.79,0
68,8,43501,18729,12,614,9,1,0.62,38,1,0,9047,546,0.43,0
27,0,100215,6036,24,769,14,0,0.38,36,1,4,18220,210,0.06,0
55,9,57922,12634,24,489,10,3,0.37,24,0,2,8277,2225,0.22,1
57,2,42243,11527,24,674,3,0,0.4,1,1,1,1324,3123,0.27,1
59,0,46860,6608,24,638,10,1,0.33,31,0,2,2219,4183,0.14,0
39,3,81772,12545,12,572,4,1,0.29,18,0,1,5859,768,0.15,0
54,0,44699,11225,60,679,10,2,0.51,19,1,0,2145,890,0.25,0
67,6,34575,10753,36,632,12,1,0.29,14,1,2,835,226,0.31,1
44,3,42708,10462,48,749,8,1,0.28,79,0,2,1867,985,0.24,0
54,9,78460,32300,36,719,4,1,0.48,8,0,1,1879,300,0.41,0
44,7,62823,10740,36,802,11,1,0.5,11,1,0,1463,825,0.17,0
48,0,50117,13763,48,611,10,0,0.7,98,1,0,101936,2594,0.27,0
37,1,53947,12896,12,761,10,2,0.53,49,0,2,7174,2553,0.24,1
65,7,37053,9867,48,556,13,0,0.47,0,1,2,5645,861,0.27,1
37,8,44490,14012,12,641,7,4,0.5,70,1,2,14815,2438,0.31,1
21,9,35184,13893,36,612,5,0,0.33,7,0,2,42529,9189,0.39,0
54,9,42302,14014,12,698,9,0,0.43,36,0,2,7816,1331,0.33,0
35,4,96094,7978,60,696,4,0,0.44,24,1,3,16664,442,0.08,0
60,6,28597,11805,48,577,3,3,0.27,23,1,0,2690,4290,0.41,0
55,10,34739,21082,60,702,13,3,0.34,37,1,1,1656,6010,0.61,1
52,3,26182,11993,36,619,2,1,0.49,6,0,1,14632,840,0.46,0
23,6,23495,14721,48,584,1,2,0.35,5,0,0,14300,847,0.63,1
52,3,44650,14768,36,649,11,1,0.44,31,0,2,12777,204,0.33,0
33,2,35997,17161,60,531,6,1,0.48,10,1,3,5714,1089,0.48,1
40,5,118284,18679,36,724,10,2,0.48,109,0,1,1928,655,0.16,0
67,2,42556,12034,48,645,2,1,0.61,18,0,3,2760,338,0.28,1
39,4,93404,7732,48,647,8,0,0.26,3,0,1,19654,1210,0.08,0
27,0,79539,6430,36,643,6,4,0.6,34,0,1,2418,1798,0.08,1
26,4,44157,24602,48,781,12,2,0.42,10,0,2,6145,1470,0.56,0
22,6,140796,21208,48,771,12,0,0.48,4,0,0,1948,1266,0.15,0
36,2,56064,19724,36,758,5,2,0.45,16,1,1,3907,9670,0.35,0
52,5,104454,21735,60,643,13,1,0.45,99,0,1,1343,2535,0.21,0
67,5,98547,12125,48,560,2,2,0.25,15,1,3,4493,3698,0.12,1
31,6,60314,9182,48,648,7,0,0.47,12,0,2,2770,13249,0.15,0
41,4,71365,7418,48,675,2,0,0.13,17,0,0,634,5353,0.1,0
41,9,66972,6949,48,715,13,2,0.66,0,0,0,10783,1338,0.1,0
65,0,27663,27647,36,674,14,0,0.41,4,0,4,10210,235,1.0,0
49,16,50445,9937,60,567,5,1,0.52,56,0,1,5257,1201,0.2,1
57,1,83878,25157,60,607,2,0,0.45,114,1,3,1275,8964,0.3,1
57,6,105144,11942,12,599,11,2,0.36,5,0,1,1296,5312,0.11,0
64,1,34189,8903,48,693,10,1,0.27,23,0,2,80554,1206,0.26,0
27,7,63857,6928,48,695,11,0,0.24,101,1,2,211,1657,0.11,0
46,6,52861,9387,12,705,11,0,0.47,5,0,0,1327,2080,0.18,0
46,2,46215,31286,60,674,2,1,0.46,6,1,2,64828,918,0.68,0
53,9,58571,6970,24,485,7,1,0.43,78,0,1,94385,980,0.12,0
40,4,54666,47574,24,511,9,0,0.33,36,0,2,37758,885,0.87,0
49,7,64260,8067,60,638,5,0,0.41,4,1,2,9304,3107,0.13,0
52,1,100796,20951,48,657,7,3,0.29,15,1,0,2289,565,0.21,0
47,4,72552,12244,24,750,4,1,0.25,1,0,2,652,8831,0.17,0
66,13,57256,11022,36,656,2,0,0.31,17,0,0,8001,1795,0.19,0
